Date,steel_rebar,hot_rolled_coil,iron_ore,usd_mxn,coal,steel_rebar_next
2022-12-30,664.93,744.0,111.27999877929688,19.457599639892578,24.73553466796875,683.0
2023-01-03,683.0,722.0,117.79000091552734,19.458799362182617,24.73553466796875,688.0
2023-01-04,688.0,723.0,115.3499984741211,19.40760040283203,24.73553466796875,694.0
2023-01-05,694.0,725.0,114.97000122070312,19.38680076599121,24.73553466796875,699.0
2023-01-06,699.0,730.0,116.56999969482422,19.31855010986328,24.73553466796875,694.5
2023-01-09,694.5,730.0,117.41000366210938,19.124300003051758,24.73553466796875,691.5
2023-01-10,691.5,730.0,119.66000366210938,19.124500274658203,24.73553466796875,690.5
2023-01-11,690.5,729.0,121.0199966430664,19.059600830078125,24.73553466796875,685.0
2023-01-12,685.0,728.0,121.26000213623047,18.942399978637695,24.73553466796875,687.5
2023-01-13,687.5,725.0,122.33000183105469,18.844310760498047,24.73553466796875,680.0
2023-01-16,680.0,725.0,122.33000183105469,18.774200439453125,24.73553466796875,685.5
2023-01-17,685.5,730.0,120.94999694824219,18.77790069580078,24.73553466796875,692.5
2023-01-18,692.5,715.0,121.19000244140625,18.64150047302246,24.73553466796875,690.5
2023-01-19,690.5,718.0,121.79000091552734,18.874059677124023,24.73553466796875,685.0
2023-01-20,685.0,715.0,122.16000366210938,18.98270034790039,24.73553466796875,681.0
2023-01-23,681.0,714.0,121.94000244140625,18.857770919799805,24.73553466796875,685.5
2023-01-24,685.5,705.0,121.97000122070312,18.81325912475586,24.73553466796875,691.0
2023-01-25,691.0,780.0,121.93000030517578,18.783599853515625,24.73553466796875,691.0
2023-01-26,691.0,775.0,122.48999786376953,18.776199340820312,24.73553466796875,690.0
2023-01-27,690.0,775.0,122.69999694824219,18.79669952392578,24.73553466796875,688.0
2023-01-30,688.0,788.0,123.08000183105469,18.768749237060547,24.73553466796875,688.74
2023-01-31,688.74,788.0,123.37000274658203,18.75860023498535,24.73553466796875,702.0
2023-02-01,702.0,788.0,126.33000183105469,18.842870712280273,24.73553466796875,704.5
2023-02-02,704.5,795.0,123.94999694824219,18.58289909362793,24.73553466796875,711.0
2023-02-03,711.0,797.0,125.26000213623047,18.641399383544922,24.73553466796875,704.0
2023-02-06,704.0,793.0,124.33999633789062,18.990869522094727,24.73553466796875,710.0
2023-02-07,710.0,802.0,122.75,19.167999267578125,24.73553466796875,709.0
2023-02-08,709.0,800.0,123.20999908447266,18.881500244140625,24.73553466796875,711.0
2023-02-09,711.0,803.0,124.6500015258789,18.934450149536133,24.73553466796875,707.0
2023-02-10,707.0,798.0,125.13999938964844,18.77829933166504,24.73553466796875,709.5
2023-02-13,709.5,805.0,123.76000213623047,18.67840003967285,24.73553466796875,707.0
2023-02-14,707.0,804.0,124.19999694824219,18.565040588378906,24.73553466796875,710.5
2023-02-15,710.5,802.0,124.33999633789062,18.50480079650879,24.73553466796875,712.0
2023-02-16,712.0,804.0,124.69000244140625,18.584550857543945,24.73553466796875,707.5
2023-02-17,707.5,798.0,124.94000244140625,18.54871940612793,24.73553466796875,709.0
2023-02-20,709.0,798.0,124.94000244140625,18.36737060546875,24.73553466796875,700.0
2023-02-21,700.0,787.0,126.33999633789062,18.38520050048828,24.73553466796875,705.0
2023-02-22,705.0,962.0,125.7699966430664,18.429899215698242,24.73553466796875,709.0
2023-02-23,709.0,986.0,125.91999816894531,18.364580154418945,24.73553466796875,699.0
2023-02-24,699.0,1020.0,125.8499984741211,18.36865997314453,24.73553466796875,706.0
2023-02-27,706.0,1044.0,125.73999786376953,18.39133071899414,24.73553466796875,706.88
2023-02-28,706.88,1054.0,125.75,18.366899490356445,24.73553466796875,759.0
2023-03-01,759.0,1028.0,126.80000305175781,18.300939559936523,24.73553466796875,751.5
2023-03-02,751.5,1049.0,127.0199966430664,18.115970611572266,24.73553466796875,741.5
2023-03-03,741.5,1050.0,126.63999938964844,18.105300903320312,24.73553466796875,747.0
2023-03-06,747.0,1060.0,125.5,17.97800064086914,24.73553466796875,749.0
2023-03-07,749.0,1050.0,127.33000183105469,18.00135040283203,24.73553466796875,744.0
2023-03-08,744.0,1065.0,127.37000274658203,18.100099563598633,24.73553466796875,749.0
2023-03-09,749.0,1060.0,129.47999572753906,17.97075080871582,24.73553466796875,754.0
2023-03-10,754.0,1056.0,129.44000244140625,18.329639434814453,24.73553466796875,747.0
2023-03-13,747.0,1055.0,130.49000549316406,18.31702995300293,24.73553466796875,743.0
2023-03-14,743.0,1075.0,130.0399932861328,18.91908073425293,24.73553466796875,731.0
2023-03-15,731.0,1062.0,130.08999633789062,18.600500106811523,24.73553466796875,735.0
2023-03-16,735.0,1056.0,128.91000366210938,18.991899490356445,24.73553466796875,730.0
2023-03-17,730.0,1056.0,130.0,18.769390106201172,24.73553466796875,724.5
2023-03-20,724.5,1055.0,128.25999450683594,18.843420028686523,24.73553466796875,725.0
2023-03-21,725.0,1056.0,128.00999450683594,18.814599990844727,24.73553466796875,720.0
2023-03-22,720.0,1058.0,127.7300033569336,18.62405014038086,24.73553466796875,720.0
2023-03-23,720.0,1056.0,126.66000366210938,18.593360900878906,24.73553466796875,722.5
2023-03-24,722.5,1057.0,126.01000213623047,18.567899703979492,24.73553466796875,725.0
2023-03-27,725.0,1060.0,126.01000213623047,18.427059173583984,24.73553466796875,724.0
2023-03-28,724.0,1036.0,126.01000213623047,18.318599700927734,24.73553466796875,723.0
2023-03-29,723.0,1170.0,126.01000213623047,18.219200134277344,24.73553466796875,721.5
2023-03-30,721.5,1165.0,126.01000213623047,18.094030380249023,24.73553466796875,726.93
2023-03-31,726.93,1164.0,127.05999755859375,18.089550018310547,24.73553466796875,682.0
2023-04-03,682.0,1175.0,122.19000244140625,18.03915023803711,24.73553466796875,678.5
2023-04-04,678.5,1171.0,120.23999786376953,18.087570190429688,24.73553466796875,688.0
2023-04-05,688.0,1162.0,119.66999816894531,18.112499237060547,24.73553466796875,674.0
2023-04-06,674.0,1166.0,119.16000366210938,18.308799743652344,24.73553466796875,680.0
2023-04-11,680.0,1165.0,121.05000305175781,18.14310073852539,24.73553466796875,681.0
2023-04-12,681.0,1184.0,120.5,18.158899307250977,24.73553466796875,680.0
2023-04-13,680.0,1180.0,119.91999816894531,18.055099487304688,24.73553466796875,680.0
2023-04-14,680.0,1175.0,119.11000061035156,18.018999099731445,24.73553466796875,681.5
2023-04-17,681.5,1175.0,120.01000213623047,17.99287986755371,24.73553466796875,684.0
2023-04-18,684.0,1175.0,120.33999633789062,18.03219985961914,24.73553466796875,679.0
2023-04-19,679.0,1176.0,120.26000213623047,18.043489456176758,24.73553466796875,673.0
2023-04-20,673.0,1176.0,119.30999755859375,18.04050064086914,24.73553466796875,672.0
2023-04-21,672.0,1178.0,117.20999908447266,17.997909545898438,24.73553466796875,673.0
2023-04-24,673.0,1177.0,116.76000213623047,17.997140884399414,24.73553466796875,680.0
2023-04-25,680.0,1176.0,117.5999984741211,17.965200424194336,24.73553466796875,675.0
2023-04-26,675.0,1073.0,116.70999908447266,18.0403995513916,24.73553466796875,676.5
2023-04-27,676.5,1074.0,116.20999908447266,18.158550262451172,24.73553466796875,675.42
2023-04-28,675.42,1069.0,116.13999938964844,18.024499893188477,24.73553466796875,615.0
2023-05-02,615.0,1086.0,106.01000213623047,17.93769073486328,24.73553466796875,622.5
2023-05-03,622.5,1105.0,105.4800033569336,17.97426986694336,24.73553466796875,621.0
2023-05-04,621.0,1096.0,103.87000274658203,17.956100463867188,24.73553466796875,615.0
2023-05-05,615.0,1101.0,103.55000305175781,17.89937973022461,24.73553466796875,610.0
2023-05-09,610.0,1099.0,106.05000305175781,17.787580490112305,24.73553466796875,615.0
2023-05-10,615.0,1095.0,106.8499984741211,17.743499755859375,24.73553466796875,616.0
2023-05-11,616.0,1095.0,104.80000305175781,17.537200927734375,24.73553466796875,621.0
2023-05-12,621.0,1096.0,105.16000366210938,17.57469940185547,24.73553466796875,616.0
2023-05-15,616.0,1093.0,106.7699966430664,17.596250534057617,24.73553466796875,626.0
2023-05-16,626.0,1093.0,106.83999633789062,17.4330997467041,24.73553466796875,632.5
2023-05-17,632.5,1092.0,107.37999725341797,17.480300903320312,24.73553466796875,617.0
2023-05-18,617.0,1096.0,107.2699966430664,17.606769561767578,24.73553466796875,614.5
2023-05-19,614.5,1094.0,107.0999984741211,17.715700149536133,24.73553466796875,621.5
2023-05-22,621.5,1090.0,107.16000366210938,17.7460994720459,24.73553466796875,622.0
2023-05-23,622.0,1090.0,106.54000091552734,17.879899978637695,24.73553466796875,620.0
2023-05-24,620.0,1099.0,105.55999755859375,17.958200454711914,24.73553466796875,620.0
2023-05-25,620.0,1099.0,105.5999984741211,17.799930572509766,24.73553466796875,625.0
2023-05-26,625.0,1099.0,105.41000366210938,17.84630012512207,24.73553466796875,621.5
2023-05-30,621.5,1099.0,105.19999694824219,17.598819732666016,24.73553466796875,623.18
2023-05-31,623.18,934.0,105.06999969482422,17.65570068359375,24.73553466796875,610.0
2023-06-01,610.0,935.0,104.5,17.67650032043457,24.73553466796875,610.5
2023-06-02,610.5,940.0,106.33000183105469,17.538799285888672,24.73553466796875,614.5
2023-06-05,614.5,945.0,107.37999725341797,17.550399780273438,24.73553466796875,615.0
2023-06-06,615.0,935.0,108.58999633789062,17.445899963378906,24.73553466796875,611.0
2023-06-07,611.0,930.0,109.18000030517578,17.367700576782227,24.73553466796875,617.5
2023-06-08,617.5,928.0,111.43000030517578,17.355289459228516,24.73553466796875,615.5
2023-06-09,615.5,928.0,112.95999908447266,17.37220001220703,24.73553466796875,608.0
2023-06-12,608.0,930.0,111.13999938964844,17.27090072631836,24.73553466796875,620.5
2023-06-13,620.5,929.0,112.44999694824219,17.2841796875,24.73553466796875,620.5
2023-06-14,620.5,923.0,112.75,17.233789443969727,24.73553466796875,619.5
2023-06-15,619.5,927.0,112.93000030517578,17.127399444580078,24.73553466796875,620.0
2023-06-16,620.0,927.0,113.0199966430664,17.12636947631836,24.73553466796875,607.5
2023-06-19,607.5,927.0,113.0199966430664,17.0669002532959,24.73553466796875,614.5
2023-06-20,614.5,927.0,113.08000183105469,17.072999954223633,24.73553466796875,613.5
2023-06-21,613.5,912.0,112.8499984741211,17.20363998413086,24.73553466796875,614.5
2023-06-22,614.5,912.0,112.8499984741211,17.11750030517578,24.73553466796875,613.5
2023-06-23,613.5,910.0,112.6500015258789,17.170000076293945,24.73553466796875,615.0
2023-06-26,615.0,910.0,112.45999908447266,17.1471004486084,24.73553466796875,617.5
2023-06-27,617.5,910.0,112.5999984741211,17.117000579833984,24.73553466796875,620.5
2023-06-28,620.5,894.0,112.63999938964844,17.076499938964844,24.73553466796875,619.0
2023-06-29,619.0,885.0,112.62000274658203,17.08289909362793,24.73553466796875,592.0
2023-06-30,592.0,881.0,112.56999969482422,17.10610008239746,24.73553466796875,591.5
2023-07-03,591.5,865.0,110.87000274658203,17.12080955505371,24.73553466796875,593.0
2023-07-04,593.0,865.0,110.87000274658203,17.047000885009766,24.73553466796875,588.0
2023-07-05,588.0,874.0,111.83999633789062,17.035499572753906,24.73553466796875,594.5
2023-07-06,594.5,895.0,112.2699966430664,17.006080627441406,24.73553466796875,580.0
2023-07-07,580.0,905.0,110.54000091552734,17.231609344482422,24.73553466796875,586.5
2023-07-10,586.5,901.0,109.20999908447266,17.147850036621094,24.73553466796875,585.5
2023-07-11,585.5,907.0,109.33999633789062,17.0447998046875,24.73553466796875,582.5
2023-07-12,582.5,896.0,110.61000061035156,17.028900146484375,24.73553466796875,578.0
2023-07-13,578.0,899.0,110.94999694824219,16.89642906188965,24.73553466796875,579.5
2023-07-14,579.5,897.0,112.37999725341797,16.846630096435547,24.73553466796875,574.5
2023-07-17,574.5,892.0,111.80999755859375,16.73870086669922,24.73553466796875,575.0
2023-07-18,575.0,887.0,112.16999816894531,16.713699340820312,24.73553466796875,575.0
2023-07-19,575.0,861.0,112.08000183105469,16.75214958190918,24.73553466796875,575.5
2023-07-20,575.5,858.0,112.43000030517578,16.711870193481445,24.73553466796875,577.0
2023-07-21,577.0,858.0,112.47000122070312,16.86590003967285,24.73553466796875,570.0
2023-07-24,570.0,858.0,112.51000213623047,16.974300384521484,24.73553466796875,578.5
2023-07-25,578.5,858.0,112.72000122070312,16.826099395751953,24.73553466796875,574.5
2023-07-26,574.5,835.0,112.88999938964844,16.926700592041016,24.73553466796875,578.5
2023-07-27,578.5,826.0,112.9000015258789,16.86244010925293,24.73553466796875,580.5
2023-07-28,580.5,824.0,112.69000244140625,16.84709930419922,24.73553466796875,563.5
2023-07-31,563.5,825.0,112.45999908447266,16.68090057373047,24.73553466796875,559.0
2023-08-01,559.0,820.0,108.31999969482422,16.738100051879883,24.73553466796875,551.5
2023-08-02,551.5,825.0,107.41000366210938,16.8735294342041,24.73553466796875,550.0
2023-08-03,550.0,815.0,104.26000213623047,17.00079917907715,24.73553466796875,548.5
2023-08-04,548.5,803.0,105.18000030517578,17.318199157714844,24.73553466796875,554.0
2023-08-07,554.0,804.0,104.7300033569336,17.08099937438965,24.73553466796875,550.0
